name,latin_name,temperature,length,location,food,kryjowka_info,breeding_info
Kirysek lamparci, Corydoras leopardus ,20 - 26°C,7.5 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p>Dla małej grupki kirysków odpowiedni będzie zbiornik 60-70 l z miękkim, najlepiej piaszczystym podłożem. Mile widziane w akwarium będą kryjówki z korzeni i gładkich kamieni oraz szeroko-listne rośliny. Kiryski lubią dobrze natlenioną wodę. Należy unikać stosowania filtracji podżwirowej oraz podłoża o ostrych krawędziach np. bazalt. Kiryski pasują do każdego akwarium ogólnego w którym nie będzie dużych i agresywnych ryb. Mogą być trzymane z małymi rybami <a title=""Ryby Karpiowate"" href=""https://rybyakwariowe.eu/karpiowate/"" target=""_blank"" rel=""noopener noreferrer"">karpiowatymi</a>, <a title=""Ryby Piękniczkowate"" href=""https://rybyakwariowe.eu/piekniczkowate-gupiki-mieczyki/"" target=""_blank"" rel=""noopener noreferrer"">piękniczkowatymi</a>, niewielkimi <a title=""Ryby Pielęgnice"" href=""https://rybyakwariowe.eu/pielegnice-paletki-pyszczaki/"" target=""_blank"" rel=""noopener noreferrer"">pielęgnicami</a> (<a title=""Pielęgniczka Ramireza"" href=""https://rybyakwariowe.eu/ryba-akwariowa/pielegniczka-ramireza-pielegnica/"">pielęgniczka ramireza</a>). Najlepiej czują się w towarzystwie innych kirysków.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,10 lat"
Kirysek malutki, Corydoras habrosus ,22 - 26°C,3 - 3.5 cm,Ameryka Płd.,bardzo łagodne,"<p>Dla większej grupy zalecane akwarium o długości min. 60 cm, najlepiej z ciemnym piaszczystym podłożem, ważne aby było miękkie i nie miało ostrych krawędzi. Do dekoracji można użyć kawałków drewna, suchych gałęzi i korzeni. Wskazana jest roślinność, także ta pływająca, która ograniczy wpadające światło. Gatunek ten preferuje łagodne oświetlenie.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Usposobienie: ,bardzo łagodne,Trudność hodowli: ,umiarkowana,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,5 - 8 lat"
Kirysek panda, Corydoras panda ,22 - 25°C,5 cm,Ameryka Płd.,bardzo łagodne,"<p>Pandy najlepiej się będą czuły w min. 40 litrowym akwarium (45x30x30 cm), urządzonym na wzór biotopu Amazonki, z piaszczystym podłożem i dekoracją z korzeni lub suchych powykręcanych gałęzi. Wrażenie naturalnego wyglądu dopełni garść wrzuconych suchych liści np. Dębu, Buku czy Ketapangu. Rośliny podwodne rzadko występują w ich naturalnym środowisku. Drewno i liście powinny z czasem zabarwić wodę na kolor słabej herbaty. Stare liście należy co kilka tygodni usuwać, wymieniając na nowe, aby nie gniły i nie zanieczyszczały wody. Do filtra można dodać woreczek wypełniony torfem, który pomoże w uzyskaniu efektu „czarnej wody”. Oświetlenie powinno być raczej słabe.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Usposobienie: ,bardzo łagodne,Trudność hodowli: ,bardzo łatwa,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,10 lat"
Kolcobrzuch karłowaty, Carinotetraodon travancoricus ,22 - 28°C,2.5 cm,Azja,"mrożony,ślimaki,żywy","<p>Ryby można trzymać w grupie lub pojedynczo. Na jednego kolcobrzucha zalecane jest ok 12 litrów przestrzeni. Najlepiej czują się w gęsto obsadzonym akwarium z licznymi kryjówkami, zakamarkami z korzeni czy kamieni. Taka aranżacja ograniczy częstotliwość spotkań i zmniejszy agresję między osobnikami a także zapewni zróżnicowany teren do badania tym ciekawskim rybkom. Światło powinno być rozproszone roślinami pływającymi. Ryby w takich warunkach są bardziej aktywne i śmielsze. W naturze zamieszkują wody stojące, dlatego też nie jest wskazany zbyt silny prąd wody. Kolcobrzuchy są bardzo wrażliwe na gorszą jakość wody dlatego wymagane częste podmiany. <strong>Nie nadają się do akwarium towarzyskiego</strong>, mają tendencje do podskubywania płetw innym, wolno-pływającym lub weloniastym rybom. Z rybami szybkimi, bardziej aktywnymi przegrają rywalizację o pokarm. Natomiast mogą zostać zjedzone przez ryby znacznie większe od siebie. Całkiem dobrym towarzystwem będą małe sumokształtne np. <a title=""Otosek Przyujściowy"" href=""https://rybyakwariowe.eu/ryba-akwariowa/otosek-przyujsciowy-ryba-otoski/"" target=""_blank"" rel=""noopener noreferrer"">otosek przyujściowy</a>. Hodowcy trzymają kolcobrzuchy karłowate także z <a title=""Krewetki akwariowe"" href=""http://krewetkiakwariowe.pl"" target=""_blank"" rel=""nofollow"" noreferrer>krewetkami</a> (jednak z różnym skutkiem).</p>","Żerowanie: ,przy dnie,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,ślimaki,, ,żywy,Długość życia: ,2 - 3 lat"
Kirysek strumieniowy – pasiasty, Corydoras arcuatus ,22 - 26°C,7 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p>Grupka kirysków strumieniowych dobrze będzie się czuła w min. 54 l akwarium, urządzonym na wzór biotopu czarnych wód. Najlepszym podłożem będzie piasek rzeczny, który nie uszkodzi ich wąsików. Do dekoracji mogą posłużyć suche korzenie, powykręcane gałązki oraz liście np. dębu, buku, ketapangu, które dodadzą zbiornikowi naturalnego wyglądu. Listki należy wymieniać co kilka tygodni. Korzenie i liście będą uwalniać do wody pożądane garbniki i zabarwią wodę na kolor słabej herbaty. Dodatkowo można także włożyć do filtra woreczek z torfem. Światło nie powinno być zbyt jasne.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,10 lat"
Kirysek Sterby, Corydoras Sterbai ,21 - 25°C,6.5 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p>Kiryski Sterby najlepiej będą się czuły przestronnym min. 54 l akwarium urządzonym na wzór biotopu Amazonii. Jako podłoża można użyć piasku rzecznego lub substratu. Do dekoracji mogą posłużyć suche korzenie, powykręcane gałązki oraz liście np. dębu, buku, ketapangu, które dodadzą naturalnego wyglądu. Należy je wymieniać co kilka tygodni. Korzenie i liście będą uwalniać do wody garbniki i zabarwią wodę na kolor słabej herbaty. Dodatkowo można także włożyć woreczek z torfem do filtra. Światło nie powinno być zbyt jasne. Rośliny w naturalnych siedliskach występują nielicznie.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,10 lat"
Kirysek szmaragdowy, Corydoras splendens ,22 - 28°C,9 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p>Grupka kirysków strumieniowych dobrze będzie się czuła w min. 112 l akwarium, urządzonym na wzór biotopu Amazonki. Najlepszym podłożem będzie piasek rzeczny, który nie uszkodzi ich wąsików. Do dekoracji mogą posłużyć suche korzenie, powykręcane gałązki oraz liście np. dębu, buku, ketapangu, które dodadzą zbiornikowi naturalnego wyglądu. Korzenie i liście będą uwalniać do wody pożądane garbniki i zabarwią wodę na kolor słabej herbaty. Dodatkowo można także włożyć do filtra woreczek z torfem. Światło nie powinno być zbyt jaskrawe.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,10 - 13 lat"
Kirysek trójpręgi, Corydoras trilineatus ,22 - 26°C,5.5 cm,Ameryka Płd.,bardzo łagodne,"<p>Niewielkie stadko kirysków można trzymać w 45 l zbiorniku, koniecznie z miękkim podłożem, tak aby nie pokaleczyły sobie delikatnych wąsików i brzuszka. Najlepiej będą się czuły w zbiorniku urządzonym na wzór biotopu Amazonki. Do tego celu potrzebny będzie drobny piasek rzeczny, suche korzenie, poskręcane gałązki i liście np. buku, dębu, ketapangu. Te naturalne dekoracje będą stopniowo uwalniać do wody bardzo pożądane garbniki i zabarwią wodę na kolor słabej herbaty. Dodatkowo wodę można także przefiltrować przez torf. Światło nie powinno być za jasne. Rośliny w naturalnych siedliskach nie występują.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Usposobienie: ,bardzo łagodne,Trudność hodowli: ,bardzo łatwa,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,10 lat"
Kirysek wspaniały – mozaikowy, Corydoras haraldschultzi ,24 - 28°C,7.5 - 8.5 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p>Niewielkie stadko kirsyków wymaga min. 54 l akwarium, koniecznie z miękkim podłożem, tak aby nie pokaleczyły sobie delikatnych wąsików. Najlepiej będą czuły się zbiorniku biotopowym urządzonym na wzór Amazonki. Do tego celu potrzebny będzie piasek rzeczny, suche korzenie, poskręcane gałązki i liście np. buku, dębu, ketapangu. Takie dekoracje będą uwalniać do wody bardzo pożądane garbniki i zabarwią wodę na kolor słabej herbaty. Dodatkowo można także przefiltrować wodę przez torf. Światło nie powinno być zbyt jaskrawe. Rośliny w naturalnych siedliskach nie występują.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,10 lat"
Kolcobrzuch dwuplamy, Tetraodon biocellatus ,22 - 26°C,8 cm,Azja,"mrożony,roślinny,ślimaki,suchy,żywy","<p>Dla jednego osobnika zaleca się ok. 70 l akwarium, częściowo gęsto obsadzone wytrzymałymi roślinami (delikatniejsze mogą być zjadane). Do dekoracji można użyć powykręcanych, suchych gałązek lub korzeni, które zapewnią im dodatkowe schronienie. Najlepszym podłożem będzie piasek rzeczny. Światło nie powinno być zbyt jasne, ewentualnie stłumione roślinnością pływająca.</p>","Żerowanie: ,przy dnie,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,roślinny,, ,ślimaki,, ,suchy,, ,żywy,Długość życia: ,15 lat"
Kiryśnik czarnoplamy, Megalechis thoracata ,18 - 28°C,15 - 18 cm,Ameryka Płd.,"mrożony,roślinny,suchy,żywy","<p>Kiryśniki wymagają obszernego ok 140 litrowego akwarium z miękkim najlepiej piaszczystym podłożem, które chętnie przekopują w poszukiwaniu pożywienia. Światło powinno być przyćmione np. roślinami pływającymi. <strong>Nie są rybami płochliwymi</strong> ale mile widziane będą dla nich ciemniejsze, mniej dostępne zakamarki. Dobre, podobne do naturalnych kryjówki można utworzyć ze splątanych korzeni. Nie lubią zbyt silnego prądu wody.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,10 lat"
Sum rekini, Pangasianodon hypophthalmus ,22 - 26°C,90 cm,Azja,"mrożony,roślinny,suchy,żywy","<p>Sumy rekinie są bardzo aktywnymi rybami. Dorosły osobnik potrzebuje akwarium ok 14,500 litrów o wymiarach 450 x 180 x 180 cm. <strong>Nie jest rybą nadającą się do trzymania w domowym akwarium.</strong> W zbiorniku nie są potrzebne żadne dekoracje, jeżeli chcemy można jednak dodać kilka dużych korzeni lub gładkich kamieni. Należy jednak pozostawić znaczną część przestrzeni do pływania i upewnić się, że dekoracje są odpowiednio ciężkie i ryba ich nie przewróci ani nie przesunie. Niezbędny będzie także wydajny filtr biologiczny, silny prąd wody oraz dobre jej natlenienie. Akwarium powinno być przykryte a wszelkie urządzenia w miarę możliwości powinny znajdować się na zewnątrz – dorosły sum z łatwością potłucze grzałkę, termometr itp.</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,20 lat"
Kolcobrzuch zielony, Tetraodon nigroviridis ,24 - 28°C,15 cm,Azja,"mrożony,ślimaki,żywy","<p>Dla pojedynczego osobnika zaleca się min. 112 l akwarium, z piaszczystym podłożem, częściowo obsadzone wytrzymałymi roślinami (delikatniejsze mogą być zjadane). Suche powykręcane, gałązki lub korzenie zapewnią im dodatkowe schronienie. Nie przepadają za jaskrawym oświetleniem, które można stłumić roślinnością pływającą.</p>","Żerowanie: ,przy dnie,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,ślimaki,, ,żywy,Długość życia: ,15 lat"
Sum liniowy – Platydora kolczasta, Platydoras armatulus ,23 - 30°C,20 cm,Ameryka Płd.,"mrożony,roślinny,suchy","<p>Akwarium dla jednego osobnika powinno mieścić min. 112 l wody. Na dnie najlepiej sprawdzi się piasek, w którym ryby lubią kopać. Suche korzenie, powykręcane gałązki oraz liście zapewnią im pożądane schronienie. Według uznania można również włożyć doniczki ceramiczne lub kawałki rurek PCV. Oświetlenie powinno być słabe, najlepiej dodatkowo stłumione roślinnością pływającą.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,roślinny,, ,suchy,Długość życia: ,20 - 22 lat"
Tęczanka Wernera – filigranowa, Iriatherina werneri ,22 - 30°C,4 - 5 cm,Nowa Gwinea,"mrożony,roślinny,suchy","<p>Wymagają akwarium o wymiarach co najmniej 60x30x30 cm, częściowo obsadzone roślinami, żeby zapewnić tym ruchliwym rybom dostateczną przestrzeń do pływania. Dodanie roślin pływających i korzeni stłumi nieco światło docierające do zbiornika oraz nada bardziej naturalnego wyglądu. Tęczanki filigranowe nie lubią zbyt silnego prądu wody. <strong>Są bardzo wrażliwe na skoki parametrów wody</strong>, dlatego też nie powinno się ich wprowadzać do świeżo zakładanych akwariów.</p>","Żerowanie: ,przy tafli wody,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,roślinny,, ,suchy,Długość życia: ,3 lata"
Tetra Cesarska, Nematobrycon palmeri ,23 - 27°C,5 cm,Ameryka Płd.,"mrożony,roślinny,suchy","<p>Tetry wymagają akwarium o min. pojemności 80 litrów. Najlepiej niezbyt mocno oświetlone, miejscowo gęsto obsadzone roślinami, z ciemnym podłożem. Ze względu na terytorializm rybom należy zapewnić duża ilość kryjówek. Tetra Cesarska idealnie pasuje do akwarium towarzyskiego. Może być trzymana z większością żyworódek, danio, razborami, innymi tetrami i spokojnymi rybami dennymi jak kiryski. Towarzystwem dla niej mogą być także Gurami i Pielęgniczki. Większe ryby mogą potraktować ją jako pokarm.</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,roślinny,, ,suchy,Długość życia: ,4 - 6 lat"
Sumik Szklisty, Kryptopterus minor ,21 - 26°C,8 cm,Azja,"mrożony,suchy,żywy","<p>Te aktywne w ciągu dnia sumy wymagają zbiornika o wymiarach co najmniej 90x30x30 cm, niezbyt gęsto obsadzone roślinami, z rozległą przestrzenią do pływania. Lubią przebywać między roślinami pływającymi oraz silny prąd wody. Są wrażliwe na jakość wody, wymagają cotygodniowych podmian wody i wydajnej filtracji.</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,7 - 8 lat"
Świecik kongolański – kongijski, Phenacogrammus interruptus ,23 - 28°C,8 cm,Afryka,"glony,mrożony,suchy,żywy","<p>Ze względu na dużą ruchliwość, dla grupy świecików kongolańskich zaleca się przynajmniej 120 cm długości akwarium, miejscami gęsto obsadzone roślinami, z pozostawioną rozległą przestrzenią do pływania. Oświetlenie nie powinno być zbyt jasne, stłumione roślinnością pływającą. Do dekoracji można użyć np. drewna bagiennego. Preferują wodę kwaśną lub lekko kwaśną, miękką i dobrze natlenioną.</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,glony,, ,mrożony,, ,suchy,, ,żywy,Długość życia: ,3 - 5 lat"
Szczelinowiec Leleupa, Neolamprologus Leleupi ,23 - 27°C,10 cm,Tanganika,"mrożony,suchy,żywy","<p>Dla pary szczelinowców zalecane jest co najmniej 75 litrowe akwarium i dwa razy takie, jeżeli chcemy je trzymać z innym gatunkiem. Najlepiej prezentują się na jasnym podłożu. Konieczne jest zapewnienie im licznych kryjówek skalnych, gdzie znajdą schronienie i będą mogły się rozmnażać. Woda w akwarium powinna być raczej twarda, alkaliczna oraz dobrze natleniona. Woda w jeziorze Tanganika oscyluje w przedziale 7.8-9.0 pH. Niezbędna jest wydajna filtracja oraz regularne cotygodniowe podmiany wody.</p>","Żerowanie: ,przy dnie,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,8 - 10 lat"
Zbrojnik lamparci, Glyptoperichthys gibbiceps ,24 - 28°C,40 cm,Ameryka Płd.,"glony,mrożony,roślinny,suchy,żywy","<p><strong>Nie nadają się do małych i średnich zbiorników</strong>. Te piękne, olbrzymie sumy należy trzymać w akwarium o długości co najmniej 200cm, wyposażonym w liczne kryjówki oraz korzenie, z których będą mogły zeskrobywać glony. Najlepiej czują się na piaszczystym podłożu. Ze względu na ich rozmiary i kopanie w podłożu, w zbiorniku nie powinno się sadzić delikatnych roślin. Wymagają wydajnej filtracji, dobrze natlenionej wody i częstych podmian.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,glony,, ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,20 - 25 lat"
Szczupieńczyk Dageta, Epiplatys dageti dageti ,21 - 25°C,6 cm,Afryka,"mrożony,suchy,żywy","<p>Szczupieńczyki Dageta najlepiej trzymać w stadku złożonym z kilku samców i wielu samic. Dla małej grupki wystarczy akwarium o wymiarach 60x30x30 cm. Jeżeli chcemy je trzymać w akwarium towarzyskim zbiornik musi być znacznie większy. Lubią zbiorniki miejscami gęsto zarośnięte, zacienione roślinami pływającymi z dekoracjami w postaci kamieni i korzeni. Ryby są doskonałymi skoczkami, dlatego akwarium powinno być szczelnie przykryte.</p>","Żerowanie: ,przy tafli wody,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,2 lata"
Trzciniak, Erpetoichthys calabaricus ,23 - 30°C,60 cm,Afryka,"mrożony,żywy","<p>Akwarium powinno być przede wszystkim długie i szerokie. Minimum 150 cm długości – głębokość ma drugorzędne znaczenie. Ryby potrzebują licznych kryjówek. Do dekoracji najlepiej użyć korzeni, wysuszonej kory (z drzewa liściastego). Mogą to być też plastikowe rurki o średnicy ok 5 cm, które poza wejściem i wyjściem, będą przysypane miękkim podłożem. Zbiornik możemy obsadzić roślinami niewymagającymi intensywnego oświetlenia jak np. Nurzaniec olbrzymi, Zwartka, Vallisneria, <a title=""Kryptokoryna Wendta – Zwartka Wendta"" href=""https://rybyakwariowe.eu/roslina-akwariowa/kryptokoryna-wendta-zwartka-wendta/"">Kryptokoryna</a>. W części zbiornika najlepiej w ogóle zrezygnować z oświetlenia. Trzciniaki nie lubią silnego prądu wody, najlepiej czują się w wodzie stojącej.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,żywy,Długość życia: ,10 - 20 lat"
Zbrojnik pospolity – glonojad, Ancistrus sp. ,18 - 27°C,10 - 15 cm,Ameryka Płd.,umiarkowane,"<p>Dla pary zbrojników pospolitych odpowiednie będzie 60 cm długości akwarium. Wysokość ścian zbiornika nie jest tak ważna jak wielkość powierzchni dna, na której ryby będą żerować. W zbyt małych akwariach karłowacieją co prowadzi do deformacji narządów wewnętrznych, chorób i ostatecznie zgonu. Jako, że są gatunkiem prowadzącym nocny tryb życia, dobrym wyborem będzie ciemne żwirowe lub piaszczyste podłoże. Zbrojnikom należy zapewnić kryjówki w których będą się mogły chować i rozmnażać. Do tego celu można użyć korzeni bagiennych, łupin kokosowych, stosów kamieni lub sztucznych, ceramicznych doniczek lub specjalnych grot. Konieczne jest dodanie większych korzeni lub kawałka miękkiego drewna, które chętnie skrobią i pomaga im w trawieniu. Drewno będzie również doskonałym siedliskiem dla glonów. Delikatniejsze rośliny mogą nie przetrwać ich aktywnego zeskrobywania glonów.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Usposobienie: ,umiarkowane,Trudność hodowli: ,łatwa,Pokarm: ,glony,, ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,10 - 12 lat"
Szczupieńczyk Karłowaty, Epiplatys annulatus ,24 - 26°C,4 cm,Afryka,"mrożony,suchy,żywy","<p>Najlepiej prezentują się w akwarium z ciemnym podłożem (idealny będzie torf), miejscowo gęsto zarośniętym, z licznymi kryjówkami. Wskazana roślinność pływająca, wśród której najchętniej przebywają. Są dobrymi skoczkami, dlatego niezbędna jest pokrywa. Najładniej wybarwiają się w stosunkowo jasnym oświetleniu. Mogą być trzymane w akwarium towarzyskim, jednak ze starannie dobraną obsadą. Łatwo dają się zastraszyć większym i silniejszym rybom. Odpowiednim towarzystwem będą np. razbory (<a title=""Razbora Galaxy – Niebiański Danio Perłowy"" href=""https://rybyakwariowe.eu/ryba-akwariowa/razbora-galaxy-niebianski-danio-perlowy/"">galaxy</a>, <a title=""Razbora Espei"" href=""https://rybyakwariowe.eu/ryba-akwariowa/razbora-espei-rasbora/"">espei</a>, <a title=""Razbora Klinowa"" href=""https://rybyakwariowe.eu/ryba-akwariowa/razbora-klinowa-razbory-klinowe/"">klinowa</a>), pielęgniczki (<a title=""Pielęgniczka Ramireza"" href=""https://rybyakwariowe.eu/ryba-akwariowa/pielegniczka-ramireza-pielegnica/"">ramireza</a>, <a title=""Pielęgniczka Boliwijska"" href=""https://rybyakwariowe.eu/ryba-akwariowa/pielegniczka-boliwijska-pielegnica/"">boliwijska</a>), kiryski (<a title=""Kirysek Panda"" href=""https://rybyakwariowe.eu/ryba-akwariowa/kirysek-panda/"">panda</a>, <a title=""Kirysek Pstry"" href=""https://rybyakwariowe.eu/ryba-akwariowa/kirysek-pstry-kiryski-pstre/"">pstry</a>) i inne łagodne szczupieńczykowate.</p>","Żerowanie: ,przy tafli wody,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,3 lata"
Zagrzebka Rachowa, Nothobranchius rachovii ,21 - 26°C,5.5 cm,Afryka,umiarkowane,"<p>Dla pary lub haremu zalecane akwarium o długości min. 45 cm, dla większej grupy min. 60 cm. Wskazane ciemne podłoże, ale niekoniecznie musi to być torf, który wymagany jest do rozmnażania. Ryby powinny mieć zapewnione liczne kryjówki. Zbiornik możemy częściowo obsadzić gęstą roślinnością, dodać drewno, korzenie czy kamienie. Przy urządzaniu wystroju należy unikać przedmiotów z ostrymi krawędziami, którymi ryby mogłyby uszkodzić sobie płetwy. Oświetlenie nie powinno być zbyt jasne. Zalecana jest również pokrywa, gdyż mogą wyskakiwać z akwarium.</p>","Żerowanie: ,przy dnie,, ,przy tafli wody,, ,środek,Rozmnażanie: ,jajorodne,Usposobienie: ,umiarkowane,Trudność hodowli: ,umiarkowana,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,1 rok"
Zagrzebka afrykańska – Suszec Gunthera, Nothobranchius guentheri ,20 - 27°C,3.5 cm,Afryka,umiarkowane,"<p>Dla pary lub haremu zaleca się akwarium o min. długości 45 cm, dla większej grupy min. 60 cm, z ciemnym podłożem, niekoniecznie torfem, który wymagany jest jednak do rozmnażania. Ryby powinny mieć zapewnione liczne kryjówki. Zbiornik możemy częściowo obsadzić gęstą roślinnością, udekorować drewnem, korzeniami czy kamieniami. Należy przy tym unikać przedmiotów z ostrymi krawędziami, którymi ryby mogłyby uszkodzić sobie płetwy. Oświetlenie nie powinno być zbyt jasne. Wskazane jest również zabezpieczenie akwarium pokrywą.</p>","Żerowanie: ,przy dnie,, ,przy tafli wody,, ,środek,Rozmnażanie: ,jajorodne,Usposobienie: ,umiarkowane,Trudność hodowli: ,umiarkowana,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,1 rok"
Wielkopłetw wspaniały, Macropodus opercularis ,16 - 27°C,7 - 10 cm,Azja,"mrożony,roślinny,suchy,żywy","<p>Harem można trzymać w ok 90 litrowym akwarium, najlepiej roślinnym, z dużą ilością spokojnych, zacienionych miejsc. Do dekoracji można też użyć powykręcanych korzeni, kamieni oraz suche liście Dębu lub Ketapangu. Preferują wody stojące , dlatego prąd wody nie powinien być zbyt silny. Ryby te są dobrymi skoczkami, warto więc zastosować pokrywę lub obniżyć nieco poziom wody.</p>","Żerowanie: ,przy tafli wody,, ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,6 lat"
Zbrojnik niebieski, Ancistrus dolichopterus ,23 - 28°C,10 cm,Ameryka Płd.,łagodne,"<p>Dla pary zbrojników niebieskich niezbędne będzie przynajmniej 54 litrowe akwarium. Najlepiej będą się czuły w zbiorniku urządzonym na wzór strumienia amazońskiej dżungli z piaszczystym podłożem oraz dekoracją z korzeni, gałęzi i ułożonych na dnie suchych liści. Oświetlenie nie powinno być zbyt jasne, chyba że chcemy również hodować rośliny. Najlepiej sprawdzą się te wytrzymalsze, rosnące na dekoracjach i pływające, które dodadzą nieco zacienionych miejsc w akwarium.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Usposobienie: ,łagodne,Trudność hodowli: ,łatwa,Pokarm: ,glony,, ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,12 lat"
Zbrojnik zebra, Hypancistrus zebra ,26 - 30°C,10 - 12 cm,Ameryka Płd.,"glony,mrożony,roślinny,suchy,żywy","<p>Najlepiej będzie się czuł w akwarium o wymiarach min. 60x30x30 cm, z piaszczystym dnem. Do dekoracji najlepiej użyć różnej wielkości płaskich, gładkich kamieni i korzeni. Wymagają dobrej jakości, dobrze natlenionej wody z silnym wymuszonym nurtem. Rośliny raczej nie są wskazane i ciężko będzie je utrzymać ale można spróbować z bardziej wytrzymałymi gatunkami rosnącymi na dekoracjach np. Anubiasem.</p>","Żerowanie: ,przy dnie,Rozmnażanie: ,jajorodne,Pokarm: ,glony,, ,mrożony,, ,roślinny,, ,suchy,, ,żywy,Długość życia: ,10 - 15 lat"
Żałobniczka – czarna Tetra, Gymnocorymbus ternetzi ,20 - 26°C,6 cm,Ameryka Płd.,"mrożony,suchy,żywy","<p>Ze względu na swój ruchliwy temperament <strong>potrzebują dużej przestrzeni do pływania</strong>. Rybom należy zapewnić akwarium o pojemności min. 70 litrów. Najlepiej prezentują się w zarośniętych zbiornikach i światłem stłumionym roślinami pływającymi. W akwarium ogólnym jej towarzystwem może być np. <a title=""Danio Lamparci – Pręgowany"" href=""https://rybyakwariowe.eu/ryba-akwariowa/danio-lamparci-pregowany/"">danio</a>, <a title=""Razbora Klinowa"" href=""https://rybyakwariowe.eu/ryba-akwariowa/razbora-klinowa-razbory-klinowe/"">razbora</a>, <a title=""Kirysek Panda"" href=""https://rybyakwariowe.eu/ryba-akwariowa/kirysek-panda/"" target=""_blank"">kirysek</a>, inne tetry czy ryby z rodziny <a title=""Ryby Piękniczkowate"" href=""https://rybyakwariowe.eu/piekniczkowate-gupiki-mieczyki"" target=""_blank"">piękniczkowatych</a>. Dzięki wysokiej budowie ciała, mało prawdopodobne jest również to, że może znaleźć się w menu większych ryb (np. <a title=""Skalar – Żaglowiec"" href=""https://rybyakwariowe.eu/ryba-akwariowa/skalar-zaglowiec-skalary/"" target=""_blank"">skalar</a>).</p>","Żerowanie: ,środek,Rozmnażanie: ,jajorodne,Pokarm: ,mrożony,, ,suchy,, ,żywy,Długość życia: ,5 lat"
